Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
"Free Spirit, Espirito Libre (Album)",Mongo Santamaria,,,,,0
De Nuevo (Album),Celia Cruz,,,,,0
Santiago Strikes Again (Album),Santiago Jiminez Jr.,,,,,0
Mujer Importante (Album),Maria De Lourdes,,,,,0
Canta A Juan Gabriel (Album),Rocio Durcal,,,,,0
20 Exitos Romanticos Con Juan Valentin (Album),Juan Valentin,,,,,0
13 Aniversario/13 Album/13 Exitos (Album),Los Humildes,,,,,0
When A Guitar Plays The Blues (Album),Roy Buchanan,,,,,0
Serious Business (Album),Johnny Winter,,,,,0
Queen Of The Blues (Album),Koko Taylor,,,,,0
"Patcha, Patcha, All Night Long (Album)",Joe Turner,,,,,0
Members Only (Album),Bobby Bland,,,,,0
Big Joe Turner With Knocky Parker And His Houserockers (Album),Knocky Parker,,,,,0
Zydeco Gris-Gris (Album),Beausoleil,,,,,0
Turning Point,Buckwheat Zydeco & Ils Sont Partis Band,Turning Point,1983-01-01,3.0,365693.0,0
Souvenirs (Album),Dewey Balfa,,,,,0
Live At The San Francisco Blues Festival (Album),Clifton Chenier,,,,,0
Simply Polkamentary (Album),Lenny Gomulka,,,,,0
Polskie Czucie Polish Feelings,Li'l Wally,,,,,0
Polka Fireworks (Album),nan,,,,,0
Brass With Class (Album),nan,,,,,0
Resistance (Album),Burning Spear,,,,,0
Working Wonders,Judy Mowatt,Working Wonders,1987-01-01,2.0,285026.0,0
Play The Game Right (Album),Ziggy Marley,,,,,0
Alive In Jamaica (Album),nan,,,,,0
We Are The World (Single),nan,,,,,0
The Velveteen Rabbit (Album),Meryl Streep,,,,,0
Prokofiev: Peter And The Wolf (Album),Dudley Moore,,,,,0
E.T.A. Hoffman - Tchaikovsky - Nutcracker (Album),Christopher Plummer,,,,,0
Bullfrogs And Butterflies (Part II) (Album),nan,,,,,0
You Look Marvelous (Single),Billy Crystal,,,,,0
Honeymooners Rap (Single),Joe Piscopo,,,,,0
Dare To Be Stupid (Album),"""Weird Al"" Yankovic",,,,,0
Born In East L.A. (Single),nan,,,,,0
Zukerman Bound (Album),Philip Roth,,,,,0
The Spy Who Came In From The Cold,John Le Carre,,,,,0
The Adventures Of Huckleberry Finn,Dick Cavett,,,,,0
Catch 22,Alan Arkin,,,,,0
The Daryl Hall And John Oates Video Collection - 7 Big Ones (Video),nan,,,,,0
Private Dancer (Video),Tina Turner,,,,,0
No Jacket Required (Video),Phil Collins,,,,,0
Do They Know It's Christmas (Video),nan,,,,,0
Wham! The Video (Video),nan,,,,,0
Tina Live - Private Dancer Tour (Video),Tina Turner,,,,,0
The Police Synchronicity Concert (Video),nan,,,,,0
Prince And The Revolution Live (Video),Prince,,,,,0
With Bells On,nan,,,,,0
Love Theme From St. Elmo's Fire (Single),nan,,,,,0
Back To The Future (Single),nan,,,,,0
Axel F (Single),nan,,,,,0
Witness (Album),nan,,,,,0
St. Elmo's Fire (Album),nan,,,,,0
Back To The Future (Album),nan,,,,,0
A Passage To India (Album),nan,,,,,0
Very Warm For May (Album),nan,,,,,0
The Tap Dance Kid (Album),nan,,,,,0
Greatest Hits From Leader Of The Pack,nan,,,,,0
Big River (Album),nan,,,,,0
The African Game (Album),nan,,,,,0
"Suite Of Dances From \""Pacific Overtures\"" (Track)",nan,,,,,0
Stille Nacht (Silent Night) (Track),nan,,,,,0
March Of The Tadpoles (Track),nan,,,,,0
Why Do People Fall In Love (Track),nan,,,,,0
Through The Fire (Single),nan,,,,,0
Harlequin (Track),nan,,,,,0
Beyond The Sea (Track),nan,,,,,0
Ray's Rockhouse (Track),nan,,,,,0
Nightshift (Single),nan,,,,,0
I Hear Music (Track),nan,,,,,0
Blee Blop Blues (Track),nan,,,,,0
In Square Circle (Album),nan,,,,,0
Hunting High And Low (Album),nan,,,,,0
Highwayman (Album),nan,,,,,0
Dangerous Moments (Album),nan,,,,,0
The Girl From Ipanema - The Bossa Nova Years (Album),nan,,,,,0
Crossroads - White Blues In The 1960's (Album),nan,,,,,0
Bleeker And Macdougal - The Folk Scene Of The 60's (Album),nan,,,,,0
American Popular Song (Album),nan,,,,,0
Billie Holiday On Verve 1946-1959 (Album),nan,,,,,0
Bill Evans: The Complete Riverside Recordings (Album),nan,,,,,0
American Popular Song (Album),nan,,,,,0
The Dream Of The Blue Turtles (Album),nan,,,,,0
Modern Manners (Album),nan,,,,,0
Harlequin (Album),nan,,,,,0
Crazy From The Heat (Album),nan,,,,,0
David Foster (producer),nan,,,,,0
"Neil Dorfsman, Mark Knopfler (producers)",nan,,,,,0
Narada Michael Walden (producer),nan,,,,,0
"Don Henley, Danny Kortchmar & Greg Ladanyi (producers)",nan,,,,,0
Respighi: Pines Of Rome/ The Birds/ Fountains Of Rome (Album),nan,,,,,0
Prokofiev: Cinderella (Suite) (Album),nan,,,,,0
"Mozart: Violin And Piano Sonatas (K.296,305,306) (Album)",nan,,,,,0
Mahler: Symphony No. 7 In E Minor (Album),nan,,,,,0
Handel: Messiah (Album),nan,,,,,0
Gershwin: Rhapsody In Blue/ Second Rhapsody For Orchestra With Piano/ Short Story/ Violin Piece/ For Lily Pons/ Sleepless Night/ Promenade (Album),nan,,,,,0
Dvorák: Symphony No. 7 In D Minor,nan,,,,,0
Berlioz: Les Nuits D'ete/Faure: Pelleas Et Melisande (Album),nan,,,,,0
Respighi: Pines Of Rome/The Birds/Fountains Of Rome (Album),nan,,,,,0
Prokofiev: Cinderella (Suite) (Album),nan,,,,,0
Liszt: A Faust Symphony (Album),nan,,,,,0
Dvorák: Symphony No. 7 In D Minor,nan,,,,,0
Wagner: Der Fliegende Hollander (The Flying Dutchman) (Album),nan,,,,,0
Stravinsky: The Rake's Progress (Album),nan,,,,,0
Puccini: Manon Lescaut (Album),nan,,,,,0
Leoncavallo: Il Pagliacci (Original Soundtrack) (Album),nan,,,,,0
Verdi: Requiem (Album),nan,,,,,0
Mozart: Requiem (Album),nan,,,,,0
Lloyd Webber: Requiem (Album),nan,,,,,0
Handel: Messiah (Album),nan,,,,,0
Schumann: Piano Concerto In A Minor/ Chopin: Piano Concerto No. 2 In F Minor (Album),nan,,,,,0
Khachaturian: Violin Concerto In D Minor (Album),nan,,,,,0
"James Galway Plays Khachaturian (Concerto For Flute And Orchestra/ Spartacus, Masquerade And Gayaneh) (Album)",nan,,,,,0
Gershwin: Second Rhapsody For Orchestra With Piano (Track),nan,,,,,0
Gershwin: Rhapsody In Blue (Album),nan,,,,,0
Gershwin: Preludes For Piano/Short Story/Violin Piece/ For Lily Pons/ Sleepless Night/ Promenade (Track),nan,,,,,0
Chopin: Piano Sonatas No. 2 in B-Flat Minor And No. 3 In B Minor (Album),nan,,,,,0
Chopin: 4 Scherzi/ Polonaise Fantaisie Op. 61 (Album),nan,,,,,0
"\""Guitarra\"" - The Guitar In Spain (Mudarra, Guerau, Boccherini, Sor, Tarrega, Albeniz, Falla, Turina, Etc.) (Album)",nan,,,,,0
The King's Singers' Madrigal History Tour (Vol. 1- Italian-English/Vol. 2 - French And Spanish) (Album),nan,,,,,0
Tchaikovsky: Piano Trio In A Minor (Album),nan,,,,,0
Mozart: Piano And Wind Quintet In E Flat/ Beethoven: Piano And Wind Quintet In E-Flat (Album),nan,,,,,0
Dvorák: Sonatina In G And Four Romantic Pieces/ Smetana: From My Homeland,nan,,,,,0
Zarzuela Arias And Duets (Arias Only) (Album),nan,,,,,0
"Marilyn Horne Sings (Offenbach, Cherubini, Saint-Saens, Etc.) (Album)",nan,,,,,0
"Canteloube: Chants D'auvergne, Vol.2/Villa-Lobos: Bachianas Brasileiras, No. 5 (Album)",nan,,,,,0
Berlioz: Les Nuits D'Ete/Debussy: La Damoiselle Elue (Album),nan,,,,,0
Berlioz: Les Nuits D'Ete (Track),nan,,,,,0
,nan,,,,,0
,nan,,,,,0
,nan,,,,,0
Starer: Violin Concerto (Album),nan,,,,,0
Perle: Serenade No. 3 For Piano And Chamber Orchestra (Album),nan,,,,,0
Glass: Satyagraha (Album),nan,,,,,0
Adams: Harmonium For Large Orchestra And Chorus (Album),nan,,,,,0
Tchaikovsky: The Nutcracker (Complete) (Album),nan,,,,,0
Respighi: Pines Of Rome/ The Birds/Fountains Of Rome (Album),nan,,,,,0
Prokofiev: Cinderella (Suite) (Album),nan,,,,,0
Mahler: Symphony No. 1 In D Major (Album),nan,,,,,0
Dvorák: Symphony No. 7 In D Minor,nan,,,,,0
Berlioz: Les Nuite D'ete/Faure: Pelleas Et Melisande,nan,,,,,0
Steven Epstein,nan,,,,,0
Jay David Saks,nan,,,,,0
David Mottley,nan,,,,,0
James Mallinson,nan,,,,,0
What's Love Got to Do with It,Tina Turner,What's Love Got to Do with It?,1993,65.0,226880.0,1
Can't Slow Down,Lionel Richie,,,,,1
What's Love Got To Do With It,nan,,,,,1
Cyndi Lauper,nan,,,,,1
What's Love Got to Do with It,Tina Turner,What's Love Got to Do with It?,1993,65.0,226880.0,1
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,The Singles (Expanded),2016-10-14,72.0,206360.0,1
Jump (For My Love),nan,,,,,1
Ghostbusters (Instrumental),nan,,,,,1
Better Be Good to Me - 2015 Remaster,Tina Turner,Private Dancer (30th Anniversary Issue),1984-05-29,44.0,312386.0,1
Dancing In the Dark,Bruce Springsteen,Born In The U.S.A.,1984-06-04,75.0,241306.0,1
Purple Rain - Music From The Motion Picture,Prince,,,,,1
Cinema,Yes,90125 (Deluxe Version),1983-06-01,33.0,127986.0,1
I Feel for You,Chaka Khan,I Feel for You,1984,57.0,343400.0,1
Caribbean Queen (No More Love On the Run),Billy Ocean,The Very Best of Billy Ocean,2010-04-26,66.0,244426.0,1
Yah Mo B There,James Ingram,It's Your Night,1983-01-01,50.0,279413.0,1
Sound System,Herbie Hancock,Sound System,1984-08-20,6.0,355026.0,1
I Feel It,Nando Fortunato,I Want You,2022-09-09,3.0,300000.0,1
The First Circle,Pat Metheny Group,First Circle,1984-10-01,30.0,551973.0,1
In My Dreams,Emmylou Harris,White Shoes,1983-01-01,27.0,197600.0,1
That's the Way Love Goes,Merle Haggard,The Essential Merle Haggard: The Epic Years,1981,48.0,181426.0,1
Mama He's Crazy,nan,,,,,1
Wheel Hoss,Ricky Skaggs,16 Biggest Hits,1980-01-01,7.0,196560.0,1
City Of New Orleans,nan,,,,,1
Hark! The Herald Angels Sing,Amy Grant,A Christmas Album,1983,42.0,175386.0,1
Michael W. Smith Sharing - Live,Michael W. Smith,A New Hallelujah,2008-10-24,17.0,104320.0,1
Keep the Flame Burning,Debby Boone,Morningstar,2013-09-24,7.0,282560.0,1
Sailin' On the Sea of Your Love,Shirley Caesar,Sailin',1984-06-30,13.0,249733.0,1
Always Remember,Andrae Crouch,,,,,1
Sailin' On the Sea of Your Love,Shirley Caesar,Sailin',1984-06-30,13.0,249733.0,1
Forgive Me - 2014 Remaster,Donna Summer,Cats Without Claws (Re-Mastered & Expanded),1984-09-11,3.0,270506.0,1
Always In My Heart (Siempre En Mi Corazon),Placido Domingo,,,,,1
Palo Pa' Rumba,Eddie Palmieri,Palo pá Rumba,1984-12-31,21.0,458734.0,1
Me Gustas Tal Como Eres,Luis Miguel,El Idolo De Mexico,1992-06-19,27.0,193352.0,1
Blues Explosion,John Hammond,,,,,1
"Elizabeth Story, Et Al. / Honey Babe, Your Papa Cares for You",Elizabeth Cotten,Live!,1998-01-01,10.0,476173.0,1
Anthem (Living Dread) - Live,Black Uhuru,"The Barn, Maple Hill Farm, Sep 23, 2018 (Live)",2019-12-15,3.0,132000.0,1
Where the sidewalk ends(Jai ke Piadero tamoom mishe),Shel Silverstein,Me & My giant Friend(Man o Dust-e-Ghoolam),2010-10-03,0.0,260133.0,1
Eat It,"""Weird Al"" Yankovic","The Essential ""Weird Al"" Yankovic",2009,44.0,200626.0,1
The Words Of Gandhi,Ben Kingsley,,,,,1
Into the Natural Beach of Peace and Super Dreams,Nano Sounds,1 Ocean Waves Love,2022-04-13,0.0,98000.0,1
Olympic Fanfare & Theme,nan,,,,,1
Purple Rain,nan,,,,,1
Sunday In The Park With George,nan,,,,,1
"Arnold Layne (feat. David Bowie) - Live From The Royal Albert Hall, May 2006",David Gilmour,Arnold Layne,2006-12-26,13.0,210480.0,1
Making Michael Jackson's Thriller,Michael Jackson,,,,,1
Ain't Got Nothing But The Blues,Joe Williams,Every Day: The Best Of The Verve Years,1993-11-16,0.0,417466.0,1
Hot House Flowers,nan,,,,,1
New York Scene,Art Blakey,,,,,1
88 Basie Street,Count Basie,88 Basie Street,1984-01-01,7.0,286733.0,1
Grace (Gymnastics Theme),nan,,,,,1
Hard Habit To Break,nan,,,,,1
Amante automático - Automatic Lover,Nancys Rubias,Una cita con Nancys Rubias,2009-01-13,3.0,211333.0,1
She's So Unusual,nan,,,,,1
Big Band Jazz,nan,,,,,1
Big Band Jazz,nan,,,,,1
Mehr als beste Freunde - Teil 17,Hanni und Nanni,Mehr als beste Freunde - Das Original-Hörspiel zum Kinofilm,2017-05-26,20.0,105573.0,1
David Foster,nan,,,,,1
James Anthony Carmichael & Lionel Richie,nan,,,,,1
Amadeus,nan,,,,,1
Prokofiev: Symphony No. 5 In B Flat,nan,,,,,1
Bizet: Carmen,nan,,,,,1
Brahms: A German Requiem,nan,,,,,1
"Wynton Marsalis-Edita Gruberova-Handel, Purcell, Etc,",nan,,,,,1
Bach: The Unaccompanied Cello Suites,nan,,,,,1
Beethoven: The Late String Quartets,nan,,,,,1
Ravel: Songs Of Maurice Ravel,nan,,,,,1
Barber: Antony And Cleopatra,nan,,,,,1
"Prokofiev: Symphony No. 5 In B Flat, Op. 100",nan,,,,,1
Steven Epstein,nan,,,,,1
The Heart Of Rock & Roll - Single Edit,Huey Lewis & The News,Retro Songs Vol 11,2023-02-21,0.0,245746.0,0
Hard Habit To Break (Single),Chicago,,,,,0
Girls Just Want To Have Fun (Single),Cyndi Lauper,,,,,0
Dancing In The Dark (Single),Bruce Springsteen,,,,,0
She's So Unusual (Album),Cyndi Lauper,,,,,0
Purple Rain - Music From The Motion Picture (Album),Prince,,,,,0
Private Dancer,Tina Turner,The Big BBQ Album,2023-02-03,0.0,434373.0,0
Born In The U.S.A. (Album),Bruce Springsteen,,,,,0
Time After Time (Single),nan,,,,,0
I Just Called To Say I Love You (Single),nan,,,,,0
Hello (Single),nan,,,,,0
Against All Odds (Take A Look At Me Now) (Single),nan,,,,,0
The Judds,nan,,,,,0
Corey Hart,nan,,,,,0
Frankie Goes To Hollywood,nan,,,,,0
Sheila,Aunt Nancy,"Jesters, Fools And Dreamers",2017-09-29,0.0,244924.0,0
The Glamorous Life (Re-Recorded),Sheila E.,The Glamorous Life (Re-Recorded) - Single,2013-03-01,12.0,219261.0,0
Strut - 1993 Remastered Version,Sheena Easton,The World Of Sheena Easton - The Singles,1993-06-07,15.0,242720.0,0
Let's Hear It For The Boy (Single),Deniece Williams,,,,,0
Girls Just Want To Have Fun (Single),Cyndi Lauper,,,,,0
Missing You,John Waite,Singles,2022-07-27,6.0,257972.0,0
I Just Called To Say I Love You - Single Version,Stevie Wonder,Love songs eighties,2023-02-13,0.0,260613.0,0
Hello (Single),Lionel Richie,,,,,0
Footloose (Single),Kenny Loggins,,,,,0
Wake Me Up Before You Go-Go (Single),nan,,,,,0
Owner Of A Lonely Heart (Single),Yes,,,,,0
Hard Habit To Break (Single),Chicago,,,,,0
Drive (Single),nan,,,,,0
The Natural (Album),Randy Newman,,,,,0
Nightsongs (Album),Earl Klugh,,,,,0
Jump (For My Love) (Instrumental) (Single),Howie Rice,,,,,0
I Just Called To Say I Love You (Instrumental) (Single),Stevie Wonder,,,,,0
Wow (Album),Wendy O. Williams,,,,,0
Rock It Out (Single),Pia Zadora,,,,,0
Here She Comes - Single Version,Bonnie Tyler,The Very Best of Bonnie Tyler,2009-03-26,30.0,204438.0,0
Dancin' On The Edge (Album),Lita Ford,,,,,0
Restless (Track),Elton John,,,,,0
Rebel Yell (Single),Billy Idol,,,,,0
Pink Houses (Single),John Cougar Mellencamp,,,,,0
Blue Jean (Single),David Bowie,,,,,0
Jump (Single),Van Halen,,,,,0
Heartbeat City (Album),nan,,,,,0
Genesis (Album),Genesis,,,,,0
90125 (Album),Yes,,,,,0
Voodoo Chile (Slight Return) (Track),Stevie Ray Vaughan,,,,,0
Vibramatic (Single),Lionel Hampton,,,,,0
Second Home By The Sea (Track),Genesis,,,,,0
Donut City (Track),Edward Van Halen,,,,,0
Patti Austin (Album),Patti Austin,,,,,0
Let's Stay Together - Single Version,Tina Turner,Simply the Best,1991-01-01,35.0,219506.0,0
Let's Hear It For The Boy (Album),Deniece Williams,,,,,0
Let the Music Play (Re-Recorded),Shannon,#1 '80s Album Ever,2012-05-01,1.0,361306.0,0
The Woman In Red (Track),Stevie Wonder,,,,,0
It's Your Night (Album),James Ingram,,,,,0
In The Name Of Love (Track),nan,,,,,0
Don't Stop (Album),Jeffrey Osborne,,,,,0
The Last Time I Made Love (Single),Joyce Kennedy,,,,,0
Tell Me I'm Not Dreamin' (Too Good To Be True) (Track),Jermaine Jackson,,,,,0
Edgartown Groove (Track),Kashif,,,,,0
Dancing In The Sheets (Single),Shalamar,,,,,0
Time Exposure (Track),Stanley Clarke,,,,,0
Shortberry Strawcake (Track),Sheila E.,,,,,0
Inside Moves (Album),Grover Washington Jr.,,,,,0
Ghetto Blaster (Album),Crusaders,,,,,0
Yah Mo B There (Single),nan,,,,,0
The Glamorous Life (Single),nan,,,,,0
Dancing In The Sheets (Single),nan,,,,,0
Caribbean Queen (No More Love On The Run) (Single),nan,,,,,0
Wishful Thinking (Album),Earl Klugh,,,,,0
Decoy (Album),Miles Davis,,,,,0
Backstreet (Album),David Sanborn,,,,,0
Access All Areas (Album),Spyro Gyra,,,,,0
Your Heart's Not In It (Single),Janie Fricke,,,,,0
The Sound Of Goodbye (Single),Crystal Gayle,,,,,0
Tennessee Homesick Blues (Single),Dolly Parton,,,,,0
Heart Over Mind (Album),Anne Murray,,,,,0
God Bless The U.S.A. (Single),Lee Greenwood,,,,,0
Country Boy (Album),Ricky Skaggs,,,,,0
City Of New Orleans (Single),Willie Nelson,,,,,0
All My Rowdy Friends Are Coming Over Tonight (Single),Hank Williams Jr.,,,,,0
To Me (Single),Barbara Mandrell,,,,,0
Nobody Loves Me Like You Do (Single),Anne Murray,,,,,0
If You're Gonna Play In Texas (You Gotta Have A Fiddle In The Band) (Single),Alabama,,,,,0
As Time Goes By (Track),Willie Nelson,,,,,0
Twin Sisters (Track),Doc Watson,,,,,0
Move It On Over (Track),nan,,,,,0
East Tennessee Christmas (Album),Chet Atkins,,,,,0
Cotton-Eyed Joe (Single),nan,,,,,0
Mama He's Crazy (Single),nan,,,,,0
God Bless The U.S.A. (Single),nan,,,,,0
Faithless Love,nan,,,,,0
All My Rowdy Friends Are Coming Over Tonight (Single),nan,,,,,0
Surrender (Album),Debby Boone,,,,,0
Songs From The Heart (Album),Sandi Patti,,,,,0
Look Who Loves You Now (Album),Michele Pillar,,,,,0
Heart And Soul (Album),Kathy Troccoli,,,,,0
Meltdown (At Madame Tussaud's) - Now The Truth Can Be Told Album Version,Steve Taylor,Now The Truth Can Be Told,1994-01-01,5.0,267333.0,0
J.E.S.U.S. (Track),Leon Patillo,,,,,0
I'm Walkin' (Album),Bob Bailey,,,,,0
Celebrate Freedom (Album),Phil Driscoll,,,,,0
Grave Robber - Not Of This World Album Version,Petra,The Ultimate Collection,2006-01-01,14.0,256839.0,0
New Point Of View (Album),nan,,,,,0
Love's Not A Feeling (Track),Steve Camp,,,,,0
Live Forever (Album),Mylon LeFevre,,,,,0
Unmistakably Danniebelle (Album),Danniebelle Hall,,,,,0
The Impossible Dream (Album),Albertina Walker,,,,,0
"Oh, It Is Jesus (Track)",Tata Vega,,,,,0
"Jesus, Come Lay Your Head On Me (Track)",Kristle Edwards,,,,,0
Willing (Album),Mel Carter,,,,,0
Trust In God (Album),Al Green,,,,,0
The Prayer (Track),James Cleveland,,,,,0
Sanctuary - It Is No Secret Album Version,Jessy Dixon,It Is No Secret,2005-01-01,0.0,273680.0,0
Rejoice (Track),Shirley Caesar,,,,,0
Psalm 8,The Richard Smallwood Singers,Psalms,2022-02-24,1.0,327000.0,0
Lord Lift Us Up (Album),Cece Winans,,,,,0
Angels Will Be Singing (Album),nan,,,,,0
Whiter Than Snow (Track),Deniece Williams,,,,,0
What I Believe (Album),Pat Boone,,,,,0
The Wonders Of His Love (Album),Philip Bailey,,,,,0
All Because Of You (Album),Lisa Whelchel,,,,,0
Secretos (Album),Jose Jose,,,,,0
Maria Conchita (Album),Maria Conchita,,,,,0
Invitame (Album),Johnny,,,,,0
Evolucion (Album),Menudo,,,,,0
Como Tu Quieres (Album),Jose Feliciano,,,,,0
"Y Ahora! \""Conniff\"" (Album)",Los Socios Del Ritmo,,,,,0
Criollo (Album),Willie Colon,,,,,0
Buscando America (Album),Rubén Blades,,,,,0
Breaking The Ice (Album),El Gran Combo de Puerto Rico,,,,,0
Bien Sabroso,Poncho Sanchez,The Concord Jazz Heritage Series,1998-01-01,14.0,244533.0,0
Un Amor Especial (Album),Yolanda Del Rio,,,,,0
Recuerdos II (Album),Juan Gabriel,,,,,0
Eternamente Tuyo (Album),Raphael,,,,,0
Concavo Y Convexo (Track),Roberto Carlos,,,,,0
You've Got Me Loving You (Album),Bobby Bland,,,,,0
Kansas City Here I Come (Album),Joe Turner,,,,,0
"I'm In A Phone Booth, Baby (Album)",Albert King,,,,,0
Guitar Slinger (Album),Johnny Winter,,,,,0
Open Road (Album),Boys Of The Lough,,,,,0
On A Saturday Night (Album),Queen Ida,,,,,0
Good Rockin' (Album),Rockin' Dopsie,,,,,0
100% Fortified Zydeco,Buckwheat Zydeco,,,,,0
Reggae Night (Single),Jimmy Cliff,,,,,0
King Yellowman (Album),Yellowman,,,,,0
Captured Live (Album),Peter Tosh,,,,,0
Steppin' Out (Single),Steel Pulse,,,,,0
The Muppets Take Manhattan - The Original Sound (Album),nan,,,,,0
Kids Praise 4 (Album),nan,,,,,0
Jim Henson's Muppets Present Fraggle Rock (Album),nan,,,,,0
Flashbeagle (Album),nan,,,,,0
Agapeland At Play With Holly Heart (Album),nan,,,,,0
The 3 Faces Of Al (Nick Danger) (Album),Firesign Theatre,,,,,0
Rappin' Rodney (Single),Rodney Dangerfield,,,,,0
Hurt Me Baby - Make Me Write Bad Checks! (Album),Rick Dees,,,,,0
Here And Now (Album),Richard Pryor,,,,,0
Our Time Has Come (Album),Jesse Jackson,,,,,0
The Story Of Indiana Jones And The Temple Of Doom (Dialogue And Music From The Original Motion Picture Soundtrack With Narration) (Album),nan,,,,,0
The Real Thing (Original Cast Recording),Jeremy Irons,,,,,0
Heart Play (Unfinished Dialogue) (Album),John Lennon,,,,,0
The A-Team (Single),nan,,,,,0
Hot House Flowers (Track),nan,,,,,0
Ghostbusters (Main Title Theme) (Track),nan,,,,,0
Yentl,nan,,,,,0
Ghostbusters (Album),nan,,,,,0
Footloose (Album),nan,,,,,0
Against All Odds (Album),nan,,,,,0
Sugar Babies (Album),nan,,,,,0
My One And Only (Album),nan,,,,,0
Doonesbury (Album),nan,,,,,0
A Stephen Sondheim Evening,nan,,,,,0
Twist Of Fate (Video),Olivia Newton-John,,,,,0
Thomas Dolby (Video),Thomas Dolby,,,,,0
Rubber Rodeo Scenic Views (Video),Rubber Rodeo,,,,,0
Phil Collins (Video),Phil Collins,,,,,0
Ashford And Simpson (Video),nan,,,,,0
We're All Devo (Video),Devo,,,,,0
Serious Moonlight (Video),David Bowie,,,,,0
Heartbeat City,nan,,,,,0
Eurythmics Sweet Dreams (The Video Album) (Video),nan,,,,,0
Billy Joel Live From Long Island (Video),Billy Joel,,,,,0
You're Lookin' At Me (Album),Carmen McRae,,,,,0
Ridin' High (Album),Sue Raney,,,,,0
Harlem Butterfly (Album),Lorez Alexandria,,,,,0
An Evening At Charlie's,Mel Tormé,,,,,0
Thelonica (Album),nan,,,,,0
Quietly There (Album),nan,,,,,0
Live At Fat Tuesday's (Album),nan,,,,,0
Ira Sullivan... Does It All (Album),nan,,,,,0
Whose Woods Are These? (Album),Clare Fischer,,,,,0
Two For The Blues (Album),Frank Foster,,,,,0
Piper At The Gates Of Dawn (Album),Phil Woods,,,,,0
Dameronia: Look Stop Listen (Album),Philly Joe Jones,,,,,0
World Class (Album),nan,,,,,0
Ten Gallon Shuffle (Album),nan,,,,,0
Misterioso (Track),nan,,,,,0
Magic Time (Album),nan,,,,,0
Waltz For Debbie (Track),nan,,,,,0
Stardust (Track),nan,,,,,0
"Cameo For Flute... \""For james\"" (Track)",nan,,,,,0
Brothers On Wheels (Track),nan,,,,,0
"Papa, Can You Hear Me?",nan,,,,,0
Mulu The Rain Forest (Track),nan,,,,,0
I Feel For You (Track),nan,,,,,0
Gravity's Angel (Track),nan,,,,,0
What About Me? (Track),nan,,,,,0
Leave It (Single),nan,,,,,0
Helter Skelter (Track),nan,,,,,0
Hard Habit To Break (Track),nan,,,,,0
Willie Nelson (Album),nan,,,,,0
No Brakes (Album),nan,,,,,0
Every Man Has A Woman (Album),nan,,,,,0
Bewitched (Album),nan,,,,,0
Virginia Traditions/Virginia Work Songs (Field Recordings 1936-1980) (Album),nan,,,,,0
An Anthology Of Sacred Carols For Classical Guitar (Album),nan,,,,,0
Amadeus (Original Soundtrack Recording) (Album),nan,,,,,0
A Golden Celebration (Album),nan,,,,,0
Worlds First Entertainment Recordings 1889-1896 (Album),nan,,,,,0
History Speaks: Franklin Delano Roosevelt (Album),nan,,,,,0
Cotton Club Stars (Album),nan,,,,,0
A Golden Celebration (Album),nan,,,,,0
Into The Gap (Album),nan,,,,,0
Heartbeat City (Album),nan,,,,,0
Can't Slow Down (Album),nan,,,,,0
Aerial Boundaries (Album),nan,,,,,0
"Prince And The Revolution (Mark Brown, Lisa Coleman, Matt Fink, Wendy Melvoin, Prince, Bobby Z.) (producers)",nan,,,,,0
Michael Omartian (producer),nan,,,,,0
"Cars (Elliot Easton, Greg Hawkes, Ric Ocasek, Benjamin Orr, David Robinson), Robert John \""Mutt\"" Lange (producers)",nan,,,,,0
"Wynton Marsalis-Edita Gruberova - Handel, Purcell, Torelli, Fasch, Molter (Album)",nan,,,,,0
"Prokofiev: Symphony No. 5 In B Flat, Op. 100 (Album)",nan,,,,,0
Brahms: A German Requiem (Album),nan,,,,,0
Beethoven: The 5 Piano Concertos (Album),nan,,,,,0
"Schubert: Symphony No. 9 In C (\""The Great\"") (Album)",nan,,,,,0
Mahler: Symphony No. 4 In G Major (Album),nan,,,,,0
Gould: Burchfield Gallery And Apple Watzes (Album),nan,,,,,0
"Berlioz: Symphonie Fantastique, Op. 14 (Album)",nan,,,,,0
Amadeus (Original Soundtrack) (Album),nan,,,,,0
Verdi: Ernani (Album),nan,,,,,0
Mozart: Don Giovanni (Album),nan,,,,,0
Janácek: Jenufa,nan,,,,,0
Britten: The Turn Of The Screw (Album),nan,,,,,0
"Prokofiev: Alexander Nevsky, Op.78 (Album)",nan,,,,,0
Orff: Carmina Burana (Album),nan,,,,,0
Mozart: Requiem (Album),nan,,,,,0
Britten: War Requiem (Album),nan,,,,,0
"Wieniawski: Violin Concerto No. 2 In D Minor, Op. 22/ Saint-Saens: Violin Concerto No. 3 In B Minor, Op. 61 (Album)",nan,,,,,0
Rodrigo: Concierto De Aranjuez/Invocation And Dance/Three Spanish Pieces (Music Of Spain Vol. 8) (Album),nan,,,,,0
Brahms: Piano Concerto No. 1 In D Minor (Album),nan,,,,,0
Beethoven: The 5 Piano Concertos (Album),nan,,,,,0
"Schubert: Piano Sonata In B Flat, Major D. 960 (Album)",nan,,,,,0
